Term,Coef,t_stat,p_value
Intercept,0.00016160273654130362,0.5733346620516737,0.5666698471787819
CPI_pct1_lag1,-0.009660743562130973,-0.18178870194005256,0.8558204982547217
CapacityUtilization_diff1_lag1,0.00017444915721512123,0.6847881456106587,0.49378748905981795
CoreCPI_pct1_lag1,-0.0492446487584548,-0.5156074040821236,0.6063511993409896
DXY_Datastream_pct1,0.008647089654517697,1.7267046687094516,0.08482389115858376
FedFundsRate_diff1,-0.0014704094112368365,-2.9313148662339827,0.003526192001153354
Housing_pct1_lag1,-0.0012947640162564295,-0.8305512075872241,0.40661432340311154
M2MoneySupply_pct1_lag1,0.006055352001765505,0.23427327240170934,0.8148664843966028
Payroll_pct1_lag1,-0.06276521712942394,-1.0169975946837353,0.3096348986529378
T10Y3M_diff1,-0.0006408143686119699,-1.6369449895352468,0.10225642153487764
TradeSales_pct1_lag2,0.001347776159144874,0.12156693675476492,0.9032896956987633
Unemployment_diff1_lag1,-0.0007270861152493275,-0.9636100092064903,0.33569637363743365
