Term,Coef,t_stat,p_value
Intercept,6.213454822568264e-06,0.023262192198879535,0.9814501927987824
AR_y(t-2),-0.19530622811890538,-3.9768011506491527,7.990881210683997e-05
CPI_pct1_lag1,-0.2844081792427112,-4.8848561382010525,1.3861486184530243e-06
CapacityUtilization_diff1_lag1,0.00015498626099710356,0.6615044378539933,0.5085864482038005
CoreCPI_pct1_lag1,0.15352515112576687,1.7246233422489587,0.08519889525142985
DXY_Datastream_pct1,-0.008535314207587266,-1.8604660251294696,0.06339272832815429
FedFundsRate_diff1,0.0006615660795413434,1.4372581914917655,0.15125547218569768
Housing_pct1_lag1,0.002219065831757029,1.5515520569081005,0.12138732206493369
M2MoneySupply_pct1_lag1,0.06513611650879322,2.6808925273204056,0.007579422086544305
Payroll_pct1_lag1,-0.014246755612729948,-0.25128209304577914,0.8016968373546383
T10Y3M_diff1,-0.0003247957406614054,-0.9042922210515477,0.366265759059214
TradeSales_pct1_lag2,0.0006021847114759081,0.05909617696823311,0.9528985615014064
Unemployment_diff1_lag1,1.7375512020510614e-05,0.02509081432435224,0.9799923028482977
